Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Gx,Gy,Gz,Letra
4095.010021912936,2559.012607593009,2768.9838785559496,3131.882646910854,3759.417812770077,10.058474262603063,2.439596001623577,-0.3602625496124386,0.995747845340282,0.3374823509375327,0.8982058392907696,a
4094.9920204612768,2558.999254332215,2770.008616387953,3128.9007656363665,3755.428921129863,10.132359214916113,2.375826109953021,-0.4340075612739387,-0.0669483862129452,1.0224066746467082,0.4515128211249788,a
4095.0051624348657,2558.9955590322315,2774.782434397142,3131.1393081485426,3755.083958699687,10.03258903738554,2.4685218841550745,-0.4455676518631352,0.9279961391719496,1.9422194267342527,0.2045709238627737,a
4095.0163739470486,2558.980200319782,2768.9867852180773,3132.6479671493435,3755.727961407486,10.130030480517553,2.4507838315695154,-0.4120507891014223,0.6591573696002533,1.5538015153783742,0.1573094151805669,a
4094.998684199392,2559.095549058939,2778.681126630728,3137.459504968711,3755.2240668344193,10.033626213829724,2.3587787129738875,-0.5002416213005869,-0.6374774065487344,0.77169020969142,-0.4850671492286265,a
4095.010667851931,2558.3546501916708,2774.899464033151,3127.246843066688,3755.335747409634,9.99929287797714,2.3207600016857337,-0.5849699918295109,0.6522505054614284,1.836874453384402,-0.5057321550898589,a
4094.998545526436,2558.100768675548,2769.2895076131244,3124.2346525212984,3756.000330947816,10.075773022368098,2.369819653006317,-0.4719020440967145,2.4492359175914804,1.8911048545099935,0.5500024491983607,a
4095.016566395348,2558.883609419199,2770.7245920270434,3134.522215823616,3755.168315916484,10.237996481728675,2.429561437275783,-0.2747902131456037,2.2992988210131986,0.1465582105455779,1.9859725746823524,a
4095.009982195441,2558.944570513227,2770.179823823352,3135.490447630647,3754.7077972912334,10.247466978006436,2.422669548635854,-0.4072132524433363,2.3297908599288237,1.219146063136474,1.3120199016109806,a
4094.9988675102686,2559.2139505870427,2768.985200666586,3133.1092839125727,3755.246881960506,10.076467058927571,2.484525144801226,-0.6241590691858221,1.91920707394022,3.405893459583628,0.0574049955523589,a
4095.0084842924903,2559.421752663535,2769.9367412047177,3135.945639795886,3755.379683495123,9.943629840372989,2.66673751862793,-0.7537062260608036,0.0103108134553605,3.718900713107505,-0.4888623395140569,a
4095.0218960575294,2555.9294016958984,2769.098671956792,3132.654560047369,3752.208127131657,9.994719251883936,2.621712675374405,-0.9715578987621232,-2.197519426354454,2.4656085894257886,-2.358820114100544,a
4095.002581756761,2554.3118091478823,2767.840424771374,3126.7933359290973,3748.034411875544,10.207832273710872,2.455632161064257,-0.7977632033184096,-2.5445421648665887,0.4947643938264537,-1.168064450120431,a
4095.006214433472,2556.9637260437084,2767.99050439046,3125.6647488125154,3746.6931011940665,10.332684884171604,2.3899275364341954,-0.2277895394338337,0.6252472161730891,-0.4594879535622964,3.530247424433549,a
